,Python probes,JavaScript probes
0,0.13971638679504395,0.22568655014038086
1,0.13195085525512695,0.22545242309570312
2,0.13298559188842773,0.22954702377319336
3,0.1308279037475586,0.23058152198791504
4,0.13241243362426758,0.23021411895751953
5,0.1344928741455078,0.22556042671203613
6,0.1320657730102539,0.22571349143981934
7,0.13167333602905273,0.22496652603149414
8,0.13508033752441406,0.22314739227294922
9,0.13633060455322266,0.22768545150756836
10,0.1337292194366455,0.22717523574829102
11,0.13450264930725098,0.2278306484222412
12,0.13379120826721191,0.22583580017089844
13,0.13577485084533691,0.24002504348754883
14,0.13544034957885742,0.2284097671508789
15,0.13214325904846191,0.22752833366394043
16,0.13286471366882324,0.2185041904449463
17,0.1337876319885254,0.2249281406402588
18,0.13178467750549316,0.22794580459594727
19,0.13267970085144043,0.2235114574432373
20,0.13491153717041016,0.22277164459228516
21,0.13245153427124023,0.2232067584991455
22,0.1328752040863037,0.22252702713012695
23,0.13255763053894043,0.22689127922058105
24,0.13260793685913086,0.2221376895904541
25,0.13324737548828125,0.22190475463867188
26,0.13265252113342285,0.2240891456604004
27,0.13240504264831543,0.22232961654663086
28,0.13257884979248047,0.23022961616516113
29,0.13273859024047852,0.2253556251525879
30,0.13154006004333496,0.22669386863708496
31,0.13238215446472168,0.22022652626037598
32,0.13526630401611328,0.2221992015838623
33,0.1316666603088379,0.2253251075744629
34,0.13315320014953613,0.2259814739227295
35,0.13323187828063965,0.2257983684539795
36,0.1319284439086914,0.2149672508239746
37,0.13506221771240234,0.22691845893859863
38,0.13361692428588867,0.22936630249023438
39,0.1334390640258789,0.2238912582397461
40,0.13341212272644043,0.22629785537719727
41,0.13470792770385742,0.2261028289794922
42,0.1259620189666748,0.21734237670898438
43,0.1323561668395996,0.2241661548614502
44,0.13184309005737305,0.2274007797241211
45,0.13259530067443848,0.2279355525970459
46,0.13554620742797852,0.22376799583435059
47,0.13458943367004395,0.22685551643371582
48,0.13382315635681152,0.2241673469543457
49,0.13251614570617676,0.22432279586791992
50,0.13310003280639648,0.22409415245056152
51,0.13213324546813965,0.2241353988647461
52,0.1330578327178955,0.22508692741394043
53,0.1285703182220459,0.22367477416992188
54,0.13366460800170898,0.22504663467407227
55,0.13180160522460938,0.22453665733337402
56,0.13244986534118652,0.22514033317565918
57,0.13232779502868652,0.21916532516479492
58,0.1361551284790039,0.22422146797180176
59,0.13235235214233398,0.23995566368103027
60,0.13449573516845703,0.22200274467468262
61,0.1353437900543213,0.22696614265441895
62,0.1320650577545166,0.2267625331878662
63,0.13442516326904297,0.22948360443115234
64,0.13666677474975586,0.22318482398986816
65,0.1319873332977295,0.22260117530822754
66,0.13498592376708984,0.2236323356628418
67,0.13299894332885742,0.2261202335357666
68,0.1362154483795166,0.22479677200317383
69,0.13760757446289062,0.22531390190124512
70,0.13334178924560547,0.22585058212280273
71,0.13319945335388184,0.2242128849029541
72,0.13405442237854004,0.22327351570129395
73,0.13315057754516602,0.22105646133422852
74,0.13481497764587402,0.22662067413330078
75,0.13214445114135742,0.22764253616333008
76,0.1340174674987793,0.2177259922027588
77,0.13253116607666016,0.22226834297180176
78,0.13185667991638184,0.22576141357421875
79,0.12991619110107422,0.22491693496704102
80,0.1347658634185791,0.22011184692382812
81,0.13393235206604004,0.22375226020812988
82,0.1317152976989746,0.2262871265411377
83,0.1359097957611084,0.22180628776550293
84,0.13367605209350586,0.2213575839996338
85,0.1334364414215088,0.22311925888061523
86,0.1348259449005127,0.22437787055969238
87,0.1330578327178955,0.2222900390625
88,0.13495111465454102,0.22846627235412598
